Feature,Importance
turnaround_hours,0.3724018921012226
gate_number_encoded,0.1563898733981256
load_factor,0.1466379160492908
departure_month,0.08435044843240283
Flight_ID_encoded,0.08033127689588604
departure_hour,0.07565031683143358
is_busy_month,0.03452869486014644
day_of_week,0.0206758367723603
aircraft_encoded,0.00616008770203423
to_Region_encoded,0.005793006556228162
to_airport_encoded,0.00447376965082935
is_peak_hour,0.004339761863833556
is_weekend,0.003471590377382636
capacity_category_code,0.0022721648579534168
is_high_load,0.001732512918158082
risk_full_weekend,0.000544039862348836
total_risk_score,0.00014112430985680318
is_very_quick_turnaround,0.00010568656050688128
is_quick_turnaround,0.0
is_early_morning,0.0
risk_quick_peak,0.0
risk_early_busy,0.0
from_airport_encoded,0.0
terminal_encoded,0.0
